Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Bomera",0,0,11,5,16,
"Bonalbo",0,0,63,119,186,
"Bondi",14,16,1857,2920,4808,
"Bondi Beach",34,17,2113,3671,5834,
"Bondi Forest",0,0,0,0,0,
"Bondi Junction",39,17,1673,2691,4417,
"Bonnells Bay",6,3,853,611,1467,
"Bonnet Bay",0,0,622,167,791,
"Bonny Hills",0,5,735,557,1296,
"Bonnyrigg",0,0,1554,1469,3027,
"Bonnyrigg Heights",0,0,1541,772,2314,
"Bonshaw (NSW)",0,0,25,22,52,
"Bonville",3,6,655,320,981,
"Booerie Creek",0,0,35,41,72,
"Book Book",0,0,21,14,38,
"Booker Bay",0,0,291,377,672,
"Bookham",0,0,38,23,67,
"Bookookoorara",0,0,4,8,13,
"Bookram",0,0,0,0,0,
"Boolambayte",0,0,18,16,38,
"Boolaroo",0,0,196,272,472,
"Boolcarroll",0,0,0,0,9,
"Booligal",0,0,26,19,44,
"Boolijah",0,0,0,0,0,
"Boomanoomana",0,0,20,13,32,
"Boomerang Beach",0,0,61,76,138,
"Boomey",0,0,15,4,22,
"Boomi",0,0,37,67,103,
"Boomi Creek",0,0,5,3,11,
"Boona Mount",0,0,3,3,11,
"Boonal",0,0,6,15,23,
"Boonoo Boonoo",0,0,5,4,13,
"Boorabee Park",0,0,23,23,43,
"Booragul",0,0,234,303,543,
"Booral (NSW)",0,0,93,68,153,
"Boorga",0,0,5,0,5,
"Boorganna",0,0,5,5,7,
"Boorolong",0,0,21,12,28,
"Boorook",0,0,4,8,17,
"Boorooma",3,0,184,109,297,
"Booroorban",0,0,13,7,16,
"Boorowa",0,7,347,412,762,
"Bootawa",0,0,42,36,77,
"Booti Booti",0,0,0,0,0,
"Booyong",0,0,16,14,32,
"Bora Ridge",0,0,26,24,41,
"Borah Creek",0,0,3,10,16,
"Borambola",0,0,28,19,44,
"Border Ranges",0,0,0,0,0,
"Boree",0,0,23,14,42,
"Boree Creek",0,0,48,36,87,
"Borenore",0,0,114,53,165,
"Boro",0,0,16,8,27,
"Bossley Park",3,0,3187,1641,4832,
"Bostobrick",0,0,32,25,59,
"Botany",22,22,2303,1878,4230,
"Botobolar",0,0,22,8,33,
"Bottle Creek",0,0,7,3,8,
"Bouddi",0,0,0,0,4,
"Bourbah",0,0,6,0,9,
"Bourke",4,3,297,546,846,
"Bourkelands",0,3,701,358,1056,
"Bournda",0,0,29,44,73,
"Bournewood",0,0,17,7,20,
"Bow Bowing",0,0,377,184,557,
"Bowan Park",0,0,29,10,37,
"Bowen Mountain",0,0,358,206,565,
"Bowenfels",0,3,342,527,871,
"Bowling Alley Point",0,0,7,3,10,
"Bowman",0,0,26,27,55,
"Bowman Farm",0,0,13,8,18,
"Bowmans Creek",0,0,0,0,3,
"Bowna",0,0,30,15,47,
"Bowning",0,0,137,93,238,
"Bowral",7,7,2475,2057,4550,
"Bowraville",0,0,189,315,501,
"Box Head",0,0,0,0,0,
"Box Hill (NSW)",0,0,209,114,318,
"Box Ridge",0,0,14,10,22,
"Boxers Creek",0,0,52,40,92,
"Boydtown",0,0,18,26,40,
"Bradbury (NSW)",5,9,1768,1647,3428,
"Braefield",0,0,14,14,28,
"Braemar",4,0,107,65,177,
"Braemar Bay",0,0,6,8,15,
"Braidwood",0,4,346,372,722,
"Brandy Hill",0,0,183,57,243,
"Branxton",0,0,473,292,767,
"Braunstone",0,0,58,56,114,
"Brawboy",0,0,3,0,7,
"Bray Park (NSW)",0,0,134,202,339,
"Brays Creek",0,0,14,10,25,
"Brayton",0,0,35,35,70,
"Breadalbane (NSW)",0,0,23,14,36,
"Breakfast Creek",0,0,11,9,21,
"Breakfast Point",11,3,1131,840,1990,
"Bream Beach",0,0,0,4,6,
"Bredbo",0,0,85,42,129,
"Breelong",0,0,17,7,28,
"Breeza",0,0,33,27,62,
"Bretti",0,0,6,6,13,
"Brewarrina",0,0,146,336,480,
"Brewongle",0,0,31,20,53,
"Briarbrook",0,0,0,0,4,
"Bribbaree",0,0,35,27,64,
"Bridgman",0,0,54,21,76,
"Brierfield",0,0,74,69,142,
"Brighton-le-Sands",20,9,1630,2161,3820,
"Brightwaters",0,0,213,148,362,
"Bril Bril",0,0,0,0,0,
"Brimbin",0,0,16,13,29,
"Brindabella",0,0,4,8,12,
"Brinerville",0,0,0,0,0,
"Bringelly",0,0,572,277,847,
"Bringenbrong",0,0,11,9,14,
"Brisbane Grove",0,0,32,19,51,
"Broadmeadow",0,3,295,449,744,
"Broadwater (Bega Valley - NSW)",0,0,37,12,49,
"Broadwater (Richmond Valley - NSW)",0,0,142,149,290,
"Broadway",0,0,11,4,17,
"Brobenah",0,0,7,0,7,
"Brocklehurst",0,0,81,59,136,
"Brocklesby",0,0,44,33,77,
"Brockley",0,0,10,6,14,
"Brodies Plains",0,0,9,11,28,
"Brogans Creek",0,0,3,3,3,
"Brogers Creek",0,0,11,10,21,
"Brogo",0,4,117,118,241,
"Broke (NSW)",0,0,116,112,227,
"Broken Head",0,0,60,92,155,
"Broken Hill",9,12,3414,4850,8272,
"Brombin",0,0,35,21,53,
"Bronte",17,11,1498,1292,2820,
"Brookdale (NSW)",0,0,4,3,8,
"Brookfield (NSW)",0,0,47,42,85,
"Brooklana",0,0,13,14,28,
"Brooklet",3,0,55,45,104,
"Brooklyn (NSW)",0,0,160,153,311,
"Brookong",0,0,0,3,3,
"Brookvale",3,5,688,736,1424,
"Brooman",0,0,5,0,9,
"Brooms Head",0,0,54,88,143,
"Broughams Gate",0,0,8,0,3,
"Broughton (NSW)",0,0,24,10,32,
"Broughton Vale",0,0,52,21,74,
"Broughton Village",0,0,22,16,38,
"Broulee",0,0,351,401,753,
"Brownlow Hill",0,0,75,26,97,
"Browns Creek",0,0,28,13,39,
"Browns Mountain",0,0,3,3,6,
"Brownsville",0,0,99,161,261,
"Brucedale",0,0,49,22,65,
"Bruie Plains",0,0,8,0,13,
"Bruinbun",0,0,5,11,17,
"Brumby Plains",0,0,0,0,0,
"Brundee",0,0,12,8,18,
"Brungle",0,0,20,20,40,
"Brungle Creek",0,0,11,3,14,
"Brunkerville",0,0,53,30,83,
"Brunswick Heads",4,11,282,717,1012,
"Brushgrove",0,0,40,54,95,
"Brushy Creek",0,0,6,0,7,
"Buangla",0,0,0,0,0,
"Bucca (NSW)",0,0,127,78,212,
"Bucca Wauka",0,0,24,17,38,
"Buccarumbi",0,0,0,7,9,
"Buchanan (NSW)",0,0,41,27,76,
"Buckajo",0,0,68,54,125,
"Buckaroo",0,0,42,16,52,
"Buckenbowra",0,0,3,5,7,
"Buckenderra",0,0,4,6,8,
"Buckendoon",0,0,5,9,13,
"Bucketty",0,0,40,33,71,
"Buckra Bendinni",0,0,24,19,42,
"Budawang",0,0,4,11,10,
"Buddabadah",0,0,19,7,22,
"Budden",0,0,4,5,13,
"Budderoo",0,0,0,0,0,
"Buddong",0,0,0,0,0,
"Budgee Budgee (NSW)",0,0,54,30,81,
"Budgewoi",0,3,676,894,1571,
"Budgewoi Peninsula",0,0,0,0,0,
"Budgong",0,0,20,10,35,
"Buff Point",0,4,758,712,1478,
"Bugaldie",0,0,35,37,71,
"Bukalong",0,0,0,0,0,
"Bukkulla",0,0,31,21,53,
"Bulahdelah",0,0,306,367,676,
"Bulee",0,0,0,0,0,
"Bulga (NSW)",0,0,89,48,140,
"Bulga Forest",0,0,0,0,0,
"Bulgary",0,0,3,4,4,
"Bulla (NSW)",0,0,0,0,3,
"Bulla Creek",0,0,14,5,18,
"Bullaburra",6,8,267,235,517,
"Bullagreen",0,0,11,3,18,
"Bullarah",0,0,21,29,52,
"Bullatale",0,0,7,11,19,
"Bullawa Creek",0,0,28,10,38,
"Bulldog",0,0,0,13,14,
"Bulli",4,4,1372,931,2309,
"Bulliac",0,0,5,10,15,
"Bullio",0,0,21,14,28,
"Bulyeroi",0,0,8,3,9,
"Bumbaldry",0,0,21,28,49,
"Bumbalong",0,0,5,3,7,
"Bundabah",0,0,22,32,53,
"Bundagen",0,0,13,59,76,
"Bundanoon (NSW)",6,6,636,566,1213,
"Bundarra",0,0,153,148,303,
