Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Riverton (SA)",74,58,55,42,39,25,24,54,6,0,661,1034,
"Robe",134,49,75,50,39,48,21,92,6,0,571,1094,
"Robertstown",26,8,9,8,5,3,8,14,0,3,157,244,
"Rochester (SA)",0,0,0,0,0,0,0,0,0,0,9,15,
"Rockleigh",16,8,14,14,13,8,15,11,0,0,148,253,
"Rocky Camp",9,8,14,8,7,9,9,9,0,0,74,142,
"Rocky Gully (SA)",6,0,13,4,4,5,7,21,0,0,50,111,
"Rocky Plain (SA)",3,0,0,4,0,0,0,0,0,0,6,18,
"Rocky Point (SA)",0,0,0,0,0,0,0,0,0,0,0,0,
"Rogues Point",4,0,0,0,7,0,0,0,0,0,18,30,
"Rose Park",106,313,25,49,59,55,17,18,9,3,735,1375,
"Rosedale (SA)",19,14,17,14,7,9,3,15,0,0,77,180,
"Rosetown",10,8,12,11,3,8,5,14,0,0,75,149,
"Rosewater",122,211,220,211,212,121,152,180,12,4,1832,3274,
"Roseworthy",61,62,105,62,63,49,54,71,8,4,468,992,
"Rosslyn Park",99,251,38,51,112,69,11,23,6,8,800,1460,
"Rostrevor",476,972,392,336,496,357,71,246,37,19,4350,7742,
"Rowland Flat",24,18,11,3,6,4,5,14,0,0,75,161,
"Roxby Downs",153,297,584,139,187,110,489,201,39,10,1681,3881,
"Royal Park",115,189,245,151,204,143,106,170,8,4,1635,2965,
"Royston Park",82,237,53,52,78,57,10,33,4,0,587,1204,
"Rudall",21,0,3,3,0,0,3,9,0,0,44,89,
"SA Remainder",0,3,0,0,0,0,0,0,0,0,48,62,
"Saddleworth",29,13,21,22,16,14,16,36,0,0,297,473,
"Saints",0,0,0,0,0,0,0,0,0,0,0,7,
"Salisbury (SA)",170,270,406,345,319,255,324,540,30,44,5505,8205,
"Salisbury Downs",158,241,281,326,256,244,247,414,23,31,3767,5981,
"Salisbury East",245,367,621,464,538,382,323,520,46,22,5441,8973,
"Salisbury Heights",334,359,448,317,490,277,172,258,38,7,2476,5186,
"Salisbury North",190,235,496,485,432,332,440,652,38,32,6558,9890,
"Salisbury Park",76,95,149,129,142,95,81,137,15,4,1242,2164,
"Salisbury Plain",45,57,83,64,59,46,59,85,5,0,715,1212,
"Salisbury South",0,0,0,0,0,0,0,0,0,0,98,96,
"Salt Creek",3,0,0,0,0,0,0,3,0,0,22,32,
"Salter Springs",11,4,9,0,4,0,0,8,0,0,22,59,
"Saltia",5,0,0,0,0,0,0,0,0,0,4,10,
"Sampson Flat",23,17,0,0,10,9,5,7,0,0,63,123,
"Sandalwood",14,0,0,0,0,0,0,5,0,0,29,54,
"Sandergrove",13,4,11,3,6,3,6,9,0,0,34,83,
"Sanderston",6,5,10,0,0,0,9,9,0,0,57,89,
"Sandilands (SA)",31,5,0,5,0,4,0,0,0,0,58,101,
"Sandleton",0,0,5,0,0,0,0,5,0,0,19,28,
"Sandy Creek (SA)",29,19,34,15,30,7,6,13,0,0,146,296,
"Sandy Grove",7,5,6,7,6,0,4,13,0,0,52,108,
"Sapphiretown",0,3,0,0,7,0,0,0,0,0,23,34,
"Sceale Bay",3,0,0,3,0,0,0,3,0,0,19,40,
"Schell Well",9,0,0,0,0,0,0,0,0,0,3,8,
"Scott Creek",20,31,19,7,12,6,5,0,0,0,92,199,
"Seacliff",152,319,97,102,127,111,19,62,7,10,937,1959,
"Seacliff Park",160,317,195,145,161,119,48,85,14,3,1191,2442,
"Seacombe Gardens",106,276,154,225,156,151,41,133,9,11,1747,3007,
"Seacombe Heights",79,146,108,96,106,66,38,64,3,0,769,1484,
"Seaford (SA)",149,276,322,244,209,178,114,225,19,10,2702,4444,
"Seaford Heights",3,10,11,6,0,9,3,6,0,0,23,56,
"Seaford Meadows",161,282,324,243,290,214,126,177,19,6,2012,3849,
"Seaford Rise",247,390,462,413,404,321,157,302,26,14,3354,6097,
"Seal Bay",0,0,0,0,0,0,0,0,0,0,8,4,
"Seaton (SA)",409,751,633,542,735,479,311,509,44,38,5898,10363,
"Seaview Downs",141,284,186,175,183,129,49,102,24,11,1392,2670,
"Sebastopol (SA)",6,0,0,0,0,4,5,0,0,0,31,52,
"Second Valley",14,8,3,8,6,3,4,13,5,0,100,160,
"Sedan",22,4,10,5,6,3,10,20,0,0,128,210,
"Seddon (SA)",24,0,5,3,5,9,0,6,0,0,54,100,
"Sefton Park",79,156,59,60,78,64,30,54,7,4,624,1214,
"Sellicks Beach",113,135,215,156,145,130,80,137,18,0,1483,2614,
"Sellicks Hill",41,31,23,9,20,14,9,21,3,0,139,304,
"Semaphore",221,375,126,163,182,119,80,103,14,10,1377,2767,
"Semaphore Park",215,344,254,221,267,176,126,145,22,15,2514,4300,
"Semaphore South",73,142,69,51,66,40,20,37,3,4,518,1014,
"Senior",31,3,3,3,6,7,0,13,0,0,46,121,
"Seppeltsfield",23,17,7,3,15,3,0,4,6,0,61,144,
"Sevenhill",10,7,6,5,0,12,3,11,0,3,52,121,
"Shaugh",8,0,0,0,0,0,4,3,0,0,4,21,
"Shea-Oak Log",17,9,9,4,9,4,5,7,0,0,67,135,
"Sheaoak Flat",8,0,0,0,0,0,0,0,0,0,18,29,
"Sheidow Park",389,667,600,529,582,425,181,297,30,12,2968,6670,
"Sheringa",11,0,0,0,0,0,0,0,0,0,14,34,
"Sherlock (SA)",19,3,5,3,5,0,0,0,0,0,34,65,
"Sherwood (SA)",26,12,0,3,0,0,5,6,0,0,41,98,
"Short",3,0,0,0,0,0,0,0,0,0,3,8,
"Silverton (SA)",0,0,0,4,0,0,0,0,0,0,17,27,
"Skye (SA)",27,46,13,12,14,12,0,6,3,0,146,286,
"Sleaford",9,4,0,0,0,0,0,4,0,0,25,51,
"Smithfield (SA)",49,52,104,113,84,86,97,132,14,7,1688,2430,
"Smithfield Plains",33,36,92,117,67,104,101,177,10,6,2124,2873,
"Smoky Bay",52,16,16,10,11,8,5,26,0,0,140,275,
"Snowtown",22,8,11,26,10,9,23,35,0,0,326,465,
"Solomon",23,5,0,3,4,0,0,6,0,0,23,59,
"Solomontown",23,31,55,47,30,34,57,68,8,0,741,1107,
"Somerton Park",412,746,229,300,375,255,74,153,17,15,2956,5538,
"South Brighton",145,324,134,126,184,101,32,82,6,0,1365,2506,
"South Hummocks",5,0,0,0,0,0,0,0,0,0,16,34,
"South Kilkerran",11,0,3,0,0,0,3,3,0,0,24,55,
"South Plympton",205,474,285,282,321,173,87,190,12,7,2138,4173,
"Southend",25,9,23,9,19,4,6,31,0,0,133,263,
"Spalding (SA)",28,12,9,8,12,5,10,21,4,0,177,281,
"Spectacle Lake",0,0,0,0,0,0,0,0,0,0,3,3,
"Spence (SA)",18,8,0,0,4,0,0,4,0,0,12,45,
"Spring Farm (SA)",15,8,13,0,9,0,0,4,0,0,47,104,
"Spring Gully (SA)",16,3,4,4,7,3,0,3,0,0,23,61,
"Springfield (SA)",60,92,11,16,36,18,3,8,13,0,271,522,
"Springton",56,34,48,30,24,25,22,53,0,6,372,672,
"Square Mile",10,6,0,0,0,0,0,0,0,0,16,33,
"St Agnes (SA)",184,344,320,249,362,217,117,162,22,13,2141,4136,
"St Clair (SA)",111,284,125,133,137,90,35,73,7,4,702,1714,
"St Georges",139,303,37,52,84,54,14,23,11,3,913,1629,
"St Ives (SA)",0,0,3,0,0,0,4,0,0,0,15,28,
"St Johns",0,0,0,0,0,0,0,4,0,0,7,16,
"St Kilda (SA)",0,3,4,0,3,0,7,9,0,0,41,69,
"St Kitts",5,3,3,0,0,0,0,0,0,0,23,42,
"St Marys (SA)",114,295,189,173,143,103,49,150,11,9,1520,2759,
"St Morris",91,201,81,91,108,60,17,58,8,5,787,1496,
"St Peters (SA)",253,656,134,158,200,130,27,67,22,6,1574,3216,
"Stanley (SA)",11,0,0,0,0,0,0,0,0,0,14,35,
"Stanley Flat",48,27,26,15,38,11,17,24,0,0,212,419,
"Stansbury",50,20,32,22,15,19,18,34,0,0,441,647,
"Steelton",8,6,0,0,0,0,0,3,0,0,8,27,
"Steinfeld",0,0,0,0,4,0,0,0,0,0,7,15,
"Stephenston",0,0,0,0,0,0,0,0,0,0,0,0,
"Stepney",67,195,45,37,57,29,8,10,4,3,415,866,
"Stewart Range",15,4,3,0,8,0,0,0,0,0,35,61,
"Stirling (SA)",238,553,96,118,155,97,19,51,7,4,1618,2964,
"Stirling North",95,133,161,153,156,116,122,95,14,3,1618,2673,
"Stockport",20,11,17,9,16,11,15,18,0,0,159,263,
"Stockwell",32,32,38,19,27,21,17,49,0,0,240,477,
"Stockyard Creek (SA)",0,0,0,0,0,0,0,5,0,0,14,16,
"Stockyard Plain",7,0,0,0,0,0,0,0,0,0,7,14,
"Stokes Bay",7,6,5,0,0,0,0,0,0,0,22,50,
"Stone Hut",0,0,4,4,3,0,0,0,0,0,16,24,
"Stone Well",10,16,0,7,12,6,0,17,0,0,46,103,
"Stonyfell",113,234,28,56,73,43,5,21,4,0,622,1208,
"Stow",0,0,0,0,0,0,0,0,0,0,4,9,
"Strathalbyn (SA)",286,407,425,370,350,245,218,373,19,9,3803,6507,
"Streaky Bay",106,89,95,61,57,62,37,106,4,7,765,1379,
"Struan",0,7,0,0,5,0,3,3,0,0,24,45,
"Stuart (SA)",4,0,0,0,0,0,0,0,0,0,9,12,
"Stuarts Creek",0,0,0,0,0,0,0,0,0,0,0,0,
"Stun'Sail Boom",0,0,0,0,0,0,0,0,0,0,0,0,
"Sturt (SA)",109,248,128,157,150,102,35,120,8,7,1456,2526,
"Sultana Point",5,0,4,0,0,0,0,0,0,0,17,24,
"Summertown",55,97,48,42,44,24,12,17,3,0,328,676,
"Sunlands",34,12,36,5,15,9,13,34,0,7,207,378,
"Sunnybrae",13,0,3,0,0,0,3,0,0,0,13,37,
"Sunnydale",3,0,7,0,5,0,4,4,0,0,29,41,
"Sunnyside (SA)",4,10,6,6,8,0,9,5,0,0,47,99,
"Sunnyvale",18,0,0,0,3,0,0,0,0,0,16,39,
"Surrey Downs",163,279,283,227,305,157,105,154,12,11,1628,3324,
"Sutherlands",4,0,0,0,3,0,0,5,0,0,25,41,
"Suttontown",61,61,53,25,42,29,36,27,0,0,246,584,
"Swan Reach (SA)",29,10,6,9,4,8,10,28,0,0,171,283,
"Swanport",15,9,8,3,18,11,3,9,0,0,70,158,
"Swede Flat",14,5,0,0,0,0,0,0,0,0,3,18,
"Tailem Bend",80,41,63,73,49,81,72,121,5,3,1072,1667,
"Taldra",5,0,0,0,0,0,0,8,0,0,16,29,
"Talia",3,0,0,0,0,0,0,0,0,0,0,5,
"Tantanoola",48,23,31,20,21,13,18,46,5,7,263,498,
"Tanunda",331,429,274,231,244,175,132,335,12,8,2415,4587,
"Taperoo",79,141,150,148,138,99,128,186,7,0,2005,3092,
"Taplan",12,0,0,0,0,0,0,3,0,0,28,45,
"Taratap",10,0,0,0,0,0,0,9,0,0,14,44,
"Tarcoola",0,0,0,0,0,0,0,0,0,0,0,0,
"Tarcowie",11,4,0,0,6,0,0,3,0,0,31,59,
"Tarlee",28,7,16,9,13,7,17,14,0,0,194,299,
"Tarnma",6,0,0,4,0,0,0,0,0,0,14,26,
"Tarpeena",19,12,19,18,8,10,34,36,0,0,256,413,
"Tatachilla",22,16,24,12,15,18,6,16,0,0,94,209,
"Taunton (SA)",3,0,0,0,0,0,0,0,0,0,4,4,
"Taylorville",41,13,12,12,14,8,5,29,0,4,170,305,
"Tea Tree Gully",185,333,284,198,212,163,77,119,18,3,1656,3244,
"Teal Flat",0,0,0,0,0,0,0,0,0,0,3,3,
"Telowie",10,7,6,8,5,3,6,0,0,0,55,95,
"Templers",11,5,12,3,8,0,5,10,0,0,56,126,
"Tennyson (SA)",126,163,51,40,87,61,17,33,9,6,576,1167,
"Tepko",0,0,0,0,0,0,3,0,0,0,15,18,
"Teringie",60,145,50,40,73,34,11,28,4,0,382,821,
"Terowie",0,0,4,6,0,0,4,7,0,0,105,135,
"The Gap (SA)",10,0,5,0,0,0,0,0,0,0,7,20,
"The Pines (SA)",5,10,4,4,4,0,0,3,0,0,77,111,
"The Range (SA)",17,10,18,4,8,8,4,11,0,0,63,151,
"Thebarton",92,206,86,95,85,64,11,60,0,5,730,1430,
"Thevenard",31,32,31,43,37,21,21,40,3,8,282,559,
"Thomas Plain",12,3,0,0,0,0,0,0,0,0,14,36,
"Thompson Beach",0,4,14,8,10,6,18,12,0,3,127,201,
"Thorngate",20,25,6,9,12,11,0,0,0,0,103,187,
"Thornlea",12,8,0,0,5,0,0,6,0,0,19,42,
"Thrington",6,4,0,0,0,0,0,0,0,0,11,25,
"Tiatukia",13,20,32,14,26,19,8,14,5,4,126,269,
"Tickera",11,9,10,8,3,0,10,14,0,0,129,196,
"Tiddy Widdy Beach",5,3,7,3,4,8,3,6,0,0,132,178,
"Tilley Swamp",3,0,0,0,0,0,0,11,0,0,11,27,
"Tintinara",104,20,24,21,27,14,19,33,3,0,260,528,
"Tolderol",4,0,0,4,0,0,0,4,0,0,13,20,
"Tooligie",14,0,0,0,0,0,0,0,0,0,10,24,
"Tooperang",18,18,23,19,12,3,8,18,0,0,129,252,
"Toora (SA)",5,5,0,0,0,0,0,8,0,0,11,35,
"Toorak Gardens",196,559,54,95,138,126,11,52,17,3,1368,2620,
"Tootenilla",10,6,0,0,0,0,0,0,0,0,9,17,
"Torrens Island",0,0,0,0,0,0,0,0,0,0,0,0,
"Torrens Park",216,525,91,118,152,92,20,71,15,6,1292,2602,
"Torrens Vale",19,6,5,3,0,6,0,5,0,0,25,66,
"Torrensville",232,535,209,249,273,173,94,185,14,7,2064,4045,
"Tothill Belt",3,0,0,0,0,0,0,3,0,0,7,20,
"Tothill Creek",0,0,0,0,0,0,0,3,0,0,7,13,
"Totness",15,4,5,11,12,4,0,4,0,0,44,92,
"Towitta",0,0,3,4,0,0,0,3,0,0,17,31,
"Tranmere (SA)",250,569,160,190,284,196,43,105,14,13,1931,3753,
"Trinity Gardens",78,229,73,59,96,48,24,41,4,0,575,1233,
"Trott Park",149,274,311,219,275,163,107,143,13,7,1449,3105,
"Truro",34,24,51,16,34,30,39,57,0,8,259,548,
"Tulka",5,10,12,3,11,4,5,14,0,3,58,124,
"Tumby Bay",124,80,97,53,63,55,63,90,3,5,1003,1629,
"Tungkillo",34,15,25,13,9,11,9,25,0,0,160,300,
"Tunkalilla",4,0,0,0,0,4,0,0,0,0,15,26,
"Tusmore",117,291,51,71,95,45,6,26,9,3,735,1450,
"Two Wells",121,108,213,124,157,100,160,191,16,9,1354,2555,
"Tyringa",3,0,0,0,0,0,0,3,0,0,4,12,
"Ucolta",0,0,0,0,0,0,0,0,0,0,7,12,
"Uley",0,0,0,0,0,0,0,0,0,0,0,0,
"Uleybury",27,33,29,15,24,12,14,19,0,0,125,299,
"Ulooloo",0,0,0,0,0,0,0,0,0,0,0,0,
"Ulyerra",14,0,0,0,4,0,0,0,0,0,9,26,
"Undalya",0,3,4,0,0,4,0,0,0,0,16,31,
"Underdale",120,253,169,123,199,118,50,101,14,8,1136,2302,
"Ungarra",32,3,3,8,10,0,5,9,0,0,94,161,
"Unley",367,788,146,200,275,175,25,99,21,10,1899,4012,
"Unley Park",127,272,22,54,100,80,3,13,4,13,749,1443,
"Uno",0,0,0,0,0,0,0,0,0,0,0,0,
"Upper Hermitage",21,16,28,17,21,6,4,16,0,0,150,282,
"Upper Sturt",81,169,65,46,51,29,12,31,5,0,463,952,
"Uraidla",47,71,37,25,38,25,7,33,0,5,280,573,
"Urania",17,5,0,4,5,0,4,0,0,0,23,56,
"Urrbrae",102,167,22,42,64,47,10,10,0,0,501,966,
"Uworra",4,0,0,0,3,0,0,0,0,0,0,12,
"Vale Park",155,339,86,98,128,86,40,67,6,3,1232,2248,
"Valley View",222,470,412,352,381,253,200,301,25,12,3475,6110,
"Veitch",0,5,0,0,0,0,0,0,0,0,8,18,
"Venus Bay (SA)",6,4,0,0,0,0,0,6,0,0,35,54,
"Verdun",25,36,13,11,12,7,5,4,0,0,100,208,
"Verran",29,5,0,0,4,0,0,4,0,0,37,90,
"Victor Harbor",159,209,213,197,148,149,57,199,17,10,2883,4232,
"Vine Vale",14,3,4,6,4,3,0,10,0,0,36,88,
"Virginia (SA)",209,80,76,55,94,65,83,91,9,8,1040,1804,
"Vista",58,102,76,55,71,47,19,34,6,3,495,969,
"Vivonne Bay",17,3,8,11,3,0,0,6,0,0,29,76,
"Waddikee",10,0,0,0,0,0,0,4,0,0,7,21,
"Waikerie",164,128,131,135,99,81,77,191,14,4,1659,2687,
"Waitpinga",29,26,15,19,11,4,3,8,0,0,194,316,
"Walker Flat",11,5,0,6,6,3,0,4,0,0,71,95,
"Walkerville (SA)",211,478,70,98,156,101,12,30,8,6,1531,2688,
"Walkley Heights",188,333,183,166,244,137,83,155,24,9,1976,3494,
"Wall Flat",10,13,5,0,3,0,0,0,0,0,25,59,
"Wallala",6,0,0,0,0,0,0,0,0,0,6,11,
"Wallaroo (SA)",124,139,154,143,96,124,84,205,13,16,2387,3482,
"Wallaroo Mines",13,14,31,19,9,25,14,23,4,5,281,431,
"Wallaroo Plain",7,7,0,3,0,0,4,0,0,0,30,48,
"Wallerberdina",0,0,0,0,0,0,0,0,0,0,0,0,
"Walloway",4,0,0,0,0,0,0,0,0,0,0,8,
"Waltowa",0,4,0,0,0,4,0,4,0,0,14,29,
"Wami Kata",0,0,4,0,0,0,0,0,0,0,6,6,
"Wanbi",10,0,4,0,0,0,0,3,0,0,25,42,
"Wandana (SA)",7,0,0,0,4,5,0,4,0,0,12,33,
"Wandearah East",27,4,6,7,4,3,8,8,0,0,35,95,
"Wandearah West",5,0,0,0,0,0,0,0,0,0,5,14,
"Wandilo",21,6,16,7,13,7,17,9,0,0,80,174,
"Wangary",19,7,9,12,8,8,3,21,0,3,111,200,
"Wangolina",9,4,3,3,0,0,3,5,0,0,23,67,
"Wanilla",12,9,4,0,0,0,0,4,0,5,46,85,
"Wappilka",0,0,0,0,0,0,5,0,0,0,8,14,
"Warburto",9,6,9,4,6,5,6,0,0,0,30,71,
"Ward Belt",11,9,8,9,3,11,11,12,0,0,82,151,
"Ward Hill",17,4,3,0,0,0,0,4,0,0,25,59,
"Warnertown",15,9,8,10,10,7,12,15,0,0,101,190,
"Warnes",0,0,0,0,0,0,0,0,0,0,0,8,
"Warooka",50,9,19,12,15,13,15,24,0,9,183,346,
"Warradale",268,621,331,336,388,281,76,193,18,4,2723,5248,
"Warramboo",28,3,6,5,0,0,0,6,3,0,55,109,
"Warraweena",0,0,0,0,0,0,0,9,0,0,13,18,
"Washpool (SA)",7,0,0,0,0,0,0,0,0,0,13,28,
"Wasleys",39,34,67,54,48,36,33,59,0,0,365,720,
"Watarru",0,0,0,0,0,0,0,0,0,0,0,0,
"Watchman",4,0,0,4,0,4,7,0,0,3,9,38,
"Waterfall Gully",10,35,4,7,13,8,0,3,0,0,78,148,
"Waterloo (SA)",13,0,0,0,0,0,3,6,0,0,52,86,
"Waterloo Corner",110,23,34,23,37,35,32,57,7,13,852,1219,
"Watervale",38,28,26,11,19,5,3,28,0,0,162,331,
"Watraba",0,0,0,0,0,0,0,0,0,0,0,0,
"Wattle Flat (SA)",14,5,6,6,10,9,11,8,0,0,88,162,
"Wattle Park",129,331,45,58,108,85,12,32,12,3,1005,1809,
"Wattle Range",29,4,0,6,3,0,0,4,0,0,35,76,
"Wattle Range East",8,0,0,0,0,0,0,0,0,0,10,20,
"Wauraltee",15,0,4,4,4,0,0,5,0,0,25,59,
"Wayville",133,361,73,111,116,89,11,52,14,5,871,1838,
"Webb Beach",0,0,4,3,0,0,6,0,0,0,27,48,
"Wedge Island (SA)",0,0,0,0,0,0,0,0,0,0,0,0,
"Weeroona Island",0,4,3,0,6,3,3,3,0,0,74,113,
"Weetulta",24,3,0,0,0,0,0,4,0,0,41,77,
"Welland",47,74,63,57,64,42,22,29,3,3,463,862,
"Wellington (SA)",20,5,16,12,4,4,9,17,0,0,119,207,
"Wellington East",10,11,10,9,11,4,6,9,0,0,113,175,
"Wepar",11,6,0,0,0,0,0,4,0,0,15,39,
"West Beach (SA)",362,604,294,280,409,259,107,153,36,8,2456,4965,
"West Bundaleer",0,0,0,0,0,0,0,0,0,0,0,8,
"West Croydon",204,515,239,223,280,166,90,184,12,3,2208,4135,
"West Hindmarsh",80,212,84,85,124,70,41,63,9,5,765,1531,
"West Lakes",387,548,300,267,456,282,120,151,40,14,3218,5791,
"West Lakes Shore",237,312,180,150,233,149,58,86,17,10,1669,3111,
"West Range",0,0,5,0,0,0,0,0,0,0,16,17,
"West Richmond",47,87,73,64,58,43,28,65,6,0,499,965,
"Westall",0,0,0,0,0,0,0,8,0,0,4,9,
"Westbourne Park",180,438,91,137,150,114,20,79,9,9,1335,2565,
"Western Flat",37,11,4,3,9,0,6,12,0,0,51,118,
"Western River",3,0,6,0,0,0,0,4,0,0,9,22,
"Wharminda",7,3,0,0,0,0,0,3,0,0,11,23,
"White Hill",3,4,10,3,4,5,5,5,0,0,55,96,
"White Hut",4,4,5,0,0,0,3,0,0,0,8,18,
"White Sands",10,14,11,8,10,5,9,9,0,0,76,154,
"White Well Corner",0,0,0,0,0,0,0,0,0,0,0,3,
"Whites Flat",5,0,0,6,0,0,0,5,0,0,25,44,
"Whites River",6,0,0,0,0,0,0,0,0,0,5,18,
"Whites Valley",44,27,24,16,21,3,18,11,6,8,126,296,
"Whitwarta",5,0,0,3,0,5,5,0,0,0,30,46,
"Whyalla",191,329,296,179,157,140,191,110,39,7,1995,3639,
"Whyalla Barson",0,0,0,0,0,0,0,0,0,0,0,0,
"Whyalla Jenkins",63,169,163,110,117,91,136,56,14,9,1030,1949,
"Whyalla Norrie",157,271,419,285,198,242,388,323,36,22,4263,6607,
"Whyalla Playford",94,212,241,121,133,92,145,124,17,5,1385,2562,
"Whyalla Stuart",110,217,339,279,193,217,351,323,29,10,4693,6747,
"Whyte Yarcowie",5,4,3,3,0,4,3,0,0,0,32,47,
"Wigley Flat",9,0,0,0,3,3,0,0,0,0,21,36,
"Wilcherry",5,0,0,0,0,0,0,0,0,0,4,10,
"Wild Dog Valley (SA)",35,8,5,7,12,7,3,11,0,0,82,182,
"Wild Horse Plains",19,6,4,3,0,0,4,13,0,0,63,107,
"Wilgena",4,4,5,0,0,0,0,7,0,0,3,20,
"Willalo",13,3,0,3,3,0,0,0,0,0,28,58,
"Willalooka",47,8,3,0,4,10,0,15,0,0,54,142,
"Willamulka",18,4,4,3,0,0,0,0,0,0,34,65,
"Willaston",127,200,259,208,195,150,138,216,17,13,1865,3378,
"William Creek",0,0,0,3,0,0,0,0,0,0,6,10,
"Williamstown (SA)",161,215,228,161,172,96,107,169,14,11,1424,2760,
"Willippa",12,0,0,0,0,0,0,7,0,0,8,22,
"Willochra",0,0,0,0,0,0,0,0,0,0,0,8,
"Willoughby (SA)",0,0,0,0,0,0,0,3,0,0,3,9,
"Willow Creek",8,5,3,0,0,4,0,3,3,0,18,40,
"Willowie",19,0,3,0,0,0,0,7,0,0,8,38,
"Willson River",0,0,0,0,0,0,0,0,0,0,3,5,
"Willunga",134,255,171,133,138,89,47,113,18,8,1211,2307,
"Willunga Hill",23,8,13,12,8,5,0,13,3,0,67,157,
"Willunga South",25,54,38,32,28,19,6,27,3,3,192,409,
"Willyaroo",22,14,30,23,26,19,13,20,0,0,218,391,
"Wilmington",64,45,33,27,38,12,17,28,3,0,328,586,
"Windsor (SA)",13,8,10,6,4,8,6,12,0,0,100,167,
"Windsor Gardens",246,644,321,269,309,222,132,258,20,16,2830,5276,
"Wingfield",17,14,31,15,9,22,22,40,3,0,302,476,
"Winkie",23,30,27,14,16,17,11,19,0,0,177,339,
"Winninowie",0,0,0,0,0,0,0,0,0,0,0,0,
"Winulta",16,0,4,0,7,0,0,4,0,0,12,34,
"Wirrabara",59,23,23,18,14,5,11,23,0,0,232,399,
"Wirraminna",0,0,0,0,0,0,0,0,0,0,0,0,
"Wirrega",6,4,0,0,0,0,0,4,0,0,17,29,
"Wirrina Cove",8,3,15,7,0,0,7,6,0,0,87,138,
"Wirrulla",14,4,14,0,4,0,5,6,0,0,58,104,
"Wisanger",18,10,14,0,14,4,0,10,0,0,59,125,
"Wistow",23,25,19,24,12,11,3,18,3,0,135,269,
"Witera",0,0,0,0,0,0,0,0,0,0,0,4,
"Wokurna",22,5,4,0,6,0,0,3,0,0,27,59,
"Wolseley",27,4,6,5,14,6,6,12,0,6,97,180,
"Wombats Rest",0,0,0,0,0,0,0,0,0,0,0,0,
"Wongulla",3,0,0,0,3,4,8,3,0,0,39,57,
"Wongyarra",6,7,3,0,0,3,3,3,0,0,25,52,
"Wonna",0,0,0,0,0,0,0,0,0,0,0,0,
"Wonuarra",8,0,0,0,0,8,0,4,0,0,19,44,
"Woodchester",19,13,27,9,20,10,9,19,3,0,102,224,
"Woodcroft (SA)",562,827,892,709,1000,736,307,535,51,19,5515,11152,
"Woodforde",44,93,30,17,36,29,3,12,3,3,338,619,
"Woodlane",9,0,5,7,5,3,4,6,0,0,34,80,
"Woodleigh (SA)",18,0,0,5,5,0,3,6,0,0,32,62,
"Woods Point (SA)",23,11,9,6,9,5,7,20,0,0,83,170,
"Woodside (SA)",159,223,165,178,158,110,74,119,11,4,1400,2607,
"Woodville (SA)",116,209,129,104,151,105,68,96,9,7,1007,1999,
"Woodville Gardens",54,102,95,123,71,58,65,171,4,11,1690,2439,
"Woodville North",65,147,150,139,109,92,103,152,10,12,1461,2450,
"Woodville Park",109,180,120,96,128,79,54,83,4,6,884,1734,
"Woodville South",161,321,224,181,275,148,98,155,8,3,1600,3174,
"Woodville West",136,277,206,166,264,138,74,154,5,6,1668,3093,
"Wool Bay",9,4,6,9,9,0,3,3,0,0,97,139,
"Woolpunda",3,0,0,0,0,0,0,0,0,0,7,19,
"Woolshed Flat (SA)",6,5,0,5,0,0,0,4,0,0,12,33,
"Woolsheds",4,0,0,3,0,3,3,4,0,0,14,24,
"Woolumbool",21,0,0,4,0,0,0,7,0,0,30,69,
"Woolundunga",3,0,0,0,0,0,0,0,0,0,8,10,
"Woomera",17,9,23,14,14,0,8,17,0,0,41,146,
"Worlds End (SA)",0,0,0,0,0,0,0,0,0,0,6,7,
"Worrolong",61,95,72,62,80,69,36,57,0,3,373,895,
"Wrattonbully",12,0,6,0,5,0,4,0,0,0,13,42,
"Wudinna",74,44,48,26,34,36,22,49,0,0,330,655,
"Wunkar",23,0,3,0,6,0,3,9,0,0,33,68,
"Wye",15,5,5,7,7,0,7,6,0,0,42,94,
"Wynarka",18,0,8,3,3,3,3,5,0,0,31,77,
"Wynn Vale",466,808,578,504,743,461,194,317,48,13,3624,7759,
"Wyomi",15,3,4,0,0,5,3,4,0,0,66,100,
"Yacka",20,3,3,3,3,3,4,8,0,0,81,140,
"Yahl",66,49,71,44,56,44,40,48,5,0,434,859,
"Yalanda",13,0,0,0,0,0,0,0,0,0,12,22,
"Yalata",4,10,0,13,4,0,0,3,0,0,201,245,
"Yallunda Flat",21,7,4,0,4,3,0,6,0,0,54,94,
"Yalpara",0,0,0,0,0,0,0,0,0,0,0,5,
"Yamba (SA)",0,0,0,0,0,0,0,0,0,0,0,3,
"Yanerbie",0,0,0,0,0,0,0,0,0,0,6,10,
"Yaninee",25,3,5,0,4,0,6,8,3,0,31,79,
"Yankalilla",38,31,51,34,31,26,21,49,0,4,617,910,
"Yantanabie",3,0,0,0,0,0,0,0,0,3,8,16,
