Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Bellingen",161,391,195,199,136,126,68,132,13,10,2342,3776,
"Bellmount Forest",30,13,6,10,7,0,0,0,0,0,50,117,
"Belltrees",7,3,0,0,3,0,0,0,0,0,14,29,
"Belmont (NSW)",282,532,497,336,419,299,168,292,14,15,4262,7114,
"Belmont North",246,478,551,342,375,263,194,296,27,15,3554,6336,
"Belmont South",28,51,84,67,56,49,28,56,5,3,629,1052,
"Belmore",434,881,723,629,774,519,465,674,70,56,7496,12713,
"Belmore River",20,9,18,7,13,16,7,15,3,5,146,269,
"Beloka",5,0,0,0,0,7,0,0,0,0,3,18,
"Belowra",0,0,0,0,0,0,0,0,0,0,7,8,
"Belrose",736,1059,403,338,610,390,104,198,42,38,4858,8775,
"Bemboka",52,27,28,20,26,11,15,35,3,5,350,571,
"Ben Bullen",5,6,11,7,10,3,4,0,0,0,58,103,
"Ben Lomond (NSW)",31,10,5,3,3,0,0,8,0,0,76,147,
"Benandarah",11,4,9,5,3,6,8,13,0,0,117,168,
"Bendalong",5,6,8,0,3,3,0,4,0,0,64,90,
"Bendemeer",49,30,28,26,17,8,20,46,4,0,276,495,
"Bendick Murrell",11,7,7,4,5,0,8,13,0,0,92,159,
"Bendolba",13,8,12,5,4,4,11,10,0,0,137,205,
"Bendoura",9,7,5,0,0,0,0,5,0,0,34,66,
"Benerembah",32,6,0,7,3,4,4,8,0,0,75,134,
"Bengalla",4,0,0,0,0,0,0,0,0,0,12,25,
"Bennetts Green",0,0,0,0,0,0,0,0,0,0,4,10,
"Benolong",8,0,3,6,6,0,0,4,0,0,18,48,
"Bensville",143,276,215,169,204,132,54,99,20,8,1214,2544,
"Bentley (NSW)",19,11,20,4,7,9,4,12,0,5,117,202,
"Berala",257,636,673,363,497,276,366,583,72,56,5269,9050,
"Berambing",3,15,10,6,5,0,3,0,0,3,56,104,
"Beresfield",60,107,212,143,149,119,142,308,12,6,1922,3182,
"Bergalia",20,21,6,11,6,7,0,3,3,0,90,169,
"Berkeley",191,333,479,376,360,327,284,413,29,33,4766,7608,
"Berkeley Vale",367,582,699,499,528,415,282,464,50,27,4434,8353,
"Berkshire Park",87,47,121,39,77,34,90,61,4,0,1582,2138,
"Berlang",0,0,0,0,0,0,0,0,0,0,0,0,
"Bermagui",75,77,93,73,45,68,17,59,0,5,1030,1536,
"Berowra",362,746,278,249,446,207,59,156,15,17,2188,4722,
"Berowra Creek",3,0,0,0,0,0,0,0,0,0,12,16,
"Berowra Heights",391,744,420,277,448,226,88,148,17,13,2492,5262,
"Berowra Waters",3,6,5,0,0,3,0,4,0,0,98,120,
