Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Barcoongere",0,0,0,0,0,0,0,0,0,0,0,0,
"Barden Ridge",3690,216,66,81,19,23,98,0,12,9,118,4330,
"Bardia",662,63,41,67,409,106,70,0,73,8,101,1605,
"Bardwell Park",1101,515,63,144,31,67,249,0,5,3,65,2235,
"Bardwell Valley",1166,316,151,339,51,33,152,0,18,3,100,2326,
"Barellan",472,6,0,0,6,0,0,0,0,0,58,540,
"Bargo",3941,90,53,12,7,11,36,0,12,7,230,4393,
"Barham",1359,11,0,0,0,12,6,0,0,0,129,1516,
"Barigan",5,0,0,0,0,0,0,0,0,0,0,5,
"Barkers Vale",135,3,0,0,0,3,7,0,0,0,17,164,
"Barmedman",413,0,3,0,0,0,0,0,0,0,41,457,
"Barneys Reef",0,0,0,0,0,0,0,0,0,0,0,0,
"Barnsley",1660,6,7,0,4,3,0,0,4,3,55,1752,
"Barooga",1588,9,6,0,3,21,19,4,0,0,153,1816,
"Barraba",1244,0,0,0,5,4,4,0,0,0,150,1410,
"Barrack Heights",4810,236,382,54,16,46,36,4,13,10,309,5904,
"Barrack Point",590,5,11,11,0,9,0,0,0,0,62,691,
"Barraganyatti",119,0,3,0,0,0,0,0,0,0,11,133,
"Barragga Bay",89,0,0,0,0,0,0,0,0,0,6,95,
"Barratta (NSW)",3,0,0,0,0,0,0,0,0,0,0,5,
"Barren Grounds",0,0,0,0,0,0,0,0,0,0,0,0,
"Barrengarry",160,0,0,0,0,0,0,0,0,0,35,196,
"Barretts Creek",10,0,0,0,0,0,0,0,0,0,0,10,
"Barringella",25,0,0,0,0,0,0,0,0,0,0,25,
"Barrington (NSW)",333,0,0,0,0,0,0,0,0,0,30,358,
"Barrington Tops",0,0,0,0,0,0,0,0,0,0,0,0,
